old	new
f__QMZZ01	f__QMZP01
p__Aenigmatarchaeota_A	p__Aenigmatarchaeota
c__Aenigmatarchaeia_A	c__Aenigmatarchaeia
p__Altarchaeota	p__Altiarchaeota
c__Altarchaeia	c__Altiarchaeia
o__Altarchaeales	o__Altiarchaeales
f__Altarchaeaceae	f__Altiarchaeaceae
g__Altarchaeum	g__Altiarchaeum
s__Altarchaeum hamiconexum	s__Altiarchaeum hamiconexum
s__Altarchaeum sp002083985	s__Altiarchaeum sp002083985
s__Altarchaeum sp002841105	s__Altiarchaeum sp002841105
g__WOR-SM1-SCG-A	g__WOR-SM1-SCG
s__WOR-SM1-SCG-A sp001723845	s__WOR-SM1-SCG sp001723845
s__WOR-SM1-SCG sp001723835	s__MCBC01 sp001723855
s__WOR-SM1-SCG sp001723855	s__MCBC01 sp001723855
o__LC-2	o__UBA460
f__LC-2	f__Kariarchaeaceae
g__GCA-2728275	g__Kariarchaeum
s__GCA-2728275 sp002728275	s__Kariarchaeum pelagium
o__LC-3	o__Hodarchaeales
f__B3-JM-08	f__Hodarchaeaceae
g__B3-JM-08	g__Hodarchaeum
s__B3-JM-08 sp003144275	s__Hodarchaeum sp003144275
s__B3-JM-08 sp011364965	s__Hodarchaeum sp011364965
s__SDNM01 sp004524425	s__TEKIR-21 sp004524425
s__SDNM01 sp004524515	s__LW40-45 sp004524515
s__SOKP01 sp005223125	s__Loki-b32 sp005223125
s__SOKP01 sp013375485	s__Loki-b32 sp013375485
s__HEL-GB-A sp013375405	s__JABXJT01 sp013375405
s__HEL-GB-A sp013375455	s__JABXJT01 sp013375455
c__Lokiarchaeia_A	c__Odinarchaeia
f__LCB-4	f__Odinarchaeaceae
g__LCB-4	g__Odinarchaeum
s__LCB-4 sp001940665	s__Odinarchaeum yellowstonii
s__MP8T-1 sp002825535	s__MP8T-1 sp002825465
s__WYZ-LMO2 sp004347825	s__WYZ-LMO2 sp011605865
s__Halorussus sp004087835	s__Halorussus pelagicus
s__Halorussus sp004765795	s__Halorussus marinus
s__Halorussus sp004765805	s__Halorussus halobius
